repo_id,label,group,group_name,target_block_count,merged_max_sources,split_max_sources,mixed_mass_mean,forced_mix_l1_mean,forced_mix_l1_per_mixed_mass,weighted_abs_type_share_distortion,weighted_attn_mlp_gap,observed_attn_share_in_mixed,count_attn_share_in_mixed,paper_val_loss
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,4,5,9,0.8921699014263288,0.23801780907576012,0.2667852935805574,0.1333926467902787,0.26620366188500516,0.4317036585441057,0.5224229602779289,2.9752
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,9,17,0.8849875613389888,0.2610322262427304,0.29495581367018087,0.14747790683509043,0.2974855182628056,0.42709150604271745,0.5212676446009402,2.9752
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,16,17,33,0.8532217973056072,0.2602328030326498,0.3050001814937686,0.1525000907468843,0.4238737860517456,0.4429922812508253,0.4979864717992758,2.9752
Jonnester/LR-AttnRes-tail-r16,Sliced LR-AttnRes Full r=16,sliced_lr_attnres,Sliced LR-AttnRes,4,5,9,0.8806581940838871,0.05608200201366703,0.06368191699165064,0.03184095849582532,0.07981048389014526,0.4990069167409591,0.5159769400826795,2.9762
Jonnester/LR-AttnRes-tail-r16,Sliced LR-AttnRes Full r=16,sliced_lr_attnres,Sliced LR-AttnRes,8,9,17,0.8746423649167525,0.06936630722860508,0.07930819499602823,0.039654097498014115,0.09194761472853002,0.49556106398594235,0.5140636294144926,2.9762
Jonnester/LR-AttnRes-tail-r16,Sliced LR-AttnRes Full r=16,sliced_lr_attnres,Sliced LR-AttnRes,16,17,33,0.8607985317283676,0.07184215980290008,0.08345990049338328,0.04172995024669164,0.3315283738677986,0.5035309482870975,0.510892298842685,2.9762
Jonnester/LR-AttnRes-tail-r32,Sliced LR-AttnRes Full r=32,sliced_lr_attnres,Sliced LR-AttnRes,4,5,9,0.8629713076411942,0.08472643753155518,0.09817990097856498,0.04908995048928249,0.11563305115128257,0.49844849502195965,0.5167700767563059,2.9682
Jonnester/LR-AttnRes-tail-r32,Sliced LR-AttnRes Full r=32,sliced_lr_attnres,Sliced LR-AttnRes,8,9,17,0.8559430384953876,0.09378348166524124,0.1095674331671623,0.05478371658358115,0.12555587385854114,0.4943301847969396,0.5152558844776652,2.9682
Jonnester/LR-AttnRes-tail-r32,Sliced LR-AttnRes Full r=32,sliced_lr_attnres,Sliced LR-AttnRes,16,17,33,0.8395808764150036,0.09327547498695786,0.1110976650459723,0.05554883252298615,0.3409074790799526,0.503963932815845,0.513447124583073,2.9682
Jonnester/LR-AttnRes-tail-r64,Sliced LR-AttnRes Full r=64,sliced_lr_attnres,Sliced LR-AttnRes,4,5,9,0.8446751872868988,0.13201378658354573,0.1562894099062797,0.07814470495313985,0.15930084069862388,0.4712031630794147,0.5172311783277184,2.9638
Jonnester/LR-AttnRes-tail-r64,Sliced LR-AttnRes Full r=64,sliced_lr_attnres,Sliced LR-AttnRes,8,9,17,0.8368622491071992,0.14662274369975117,0.17520535052952205,0.08760267526476102,0.17941385819564176,0.4662663207246679,0.5161699824938485,2.9638
Jonnester/LR-AttnRes-tail-r64,Sliced LR-AttnRes Full r=64,sliced_lr_attnres,Sliced LR-AttnRes,16,17,33,0.8173916221932768,0.14728354054307854,0.18018724017243753,0.09009362008621877,0.32023835087617364,0.4773729889689512,0.5080721916691687,2.9638
Jonnester/LR-AttnRes-tail-r128,Sliced LR-AttnRes Full r=128,sliced_lr_attnres,Sliced LR-AttnRes,4,5,9,0.841549373530024,0.16588154512251818,0.19711445381594134,0.09855722690797067,0.19031744463515127,0.45383123203595366,0.5180000800605498,2.963
Jonnester/LR-AttnRes-tail-r128,Sliced LR-AttnRes Full r=128,sliced_lr_attnres,Sliced LR-AttnRes,8,9,17,0.8331330171578616,0.1910866055910009,0.22935905990482885,0.11467952995241443,0.2249857831944001,0.448313804571355,0.5168751479023614,2.963
Jonnester/LR-AttnRes-tail-r128,Sliced LR-AttnRes Full r=128,sliced_lr_attnres,Sliced LR-AttnRes,16,17,33,0.8122208057398562,0.19076660467984938,0.2348703743264484,0.1174351871632242,0.32621551705101526,0.45985651930674865,0.5057315148332672,2.963
Jonnester/LR-AttnRes-tail-r256,Sliced LR-AttnRes Full r=256,sliced_lr_attnres,Sliced LR-AttnRes,4,5,9,0.8465325502017172,0.2015725952764126,0.2381155872014378,0.1190577936007189,0.23607522657798907,0.43762144140716375,0.5187150547728132,2.9626
Jonnester/LR-AttnRes-tail-r256,Sliced LR-AttnRes Full r=256,sliced_lr_attnres,Sliced LR-AttnRes,8,9,17,0.8380575382068999,0.21994481051832127,0.2624459544733804,0.1312229772366902,0.262338353291051,0.43193428412688956,0.5176603688533629,2.9626
Jonnester/LR-AttnRes-tail-r256,Sliced LR-AttnRes Full r=256,sliced_lr_attnres,Sliced LR-AttnRes,16,17,33,0.8170326343729025,0.23100550129242803,0.28273717789710073,0.14136858894855037,0.3464375757121532,0.44304935640713483,0.5025098723547259,2.9626
Jonnester/LR-AttnRes-tail-r512,Sliced LR-AttnRes Full r=512,sliced_lr_attnres,Sliced LR-AttnRes,4,5,9,0.8442368896430018,0.21456048104407952,0.25414724667481625,0.12707362333740813,0.25377342672428876,0.4377725106695267,0.5181989906844252,2.9617
Jonnester/LR-AttnRes-tail-r512,Sliced LR-AttnRes Full r=512,sliced_lr_attnres,Sliced LR-AttnRes,8,9,17,0.8360927931362978,0.232403568643161,0.27796384629914556,0.13898192314957278,0.28865765842533225,0.4322960432613415,0.5170964209323229,2.9617
Jonnester/LR-AttnRes-tail-r512,Sliced LR-AttnRes Full r=512,sliced_lr_attnres,Sliced LR-AttnRes,16,17,33,0.8130146155892811,0.2566757699445417,0.31570867856846646,0.15785433928423323,0.4108917583530877,0.44456716932471096,0.5013770921517651,2.9617
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,4,5,9,0.8891720101040904,0.07445382481829867,0.08373388272712587,0.041866941363562934,0.09987344996964094,0.49510263981926356,0.5167031117272033,2.9606
Jonnester/LR-AttnRes-Full-16,Projected LR-AttnRes Full r=16,lr_attnres,Projected LR-AttnRes,8,9,17,0.8820220691893789,0.0793098081943931,0.08991816754345232,0.04495908377172616,0.10679887477599911,0.49100978724857475,0.5147194110400302,2.9606
